Restaurant Name	Inspection Type	Inspection Date	Inspection Score	Street Number	Street Name	Street Direction	Street Type	Street Unit	Street Address	Zip Code	Violation Description - 1	Violation Points - 1	Violation Detail - 1	Violation Memo - 1	Violation Description - 2	Violation Points - 2	Violation Detail - 2	Violation Memo - 2	Violation Description - 3	Violation Points - 3	Violation Detail - 3	Violation Memo - 3	Violation Description - 4	Violation Points - 4	Violation Detail - 4	Violation Memo - 4	Violation Description - 5	Violation Points - 5	Violation Detail - 5	Violation Memo - 5	Violation Description - 6	Violation Points - 6	Violation Detail - 6	Violation Memo - 6	Violation Description - 7	Violation Points - 7	Violation Detail - 7	Violation Memo - 7	Violation Description - 8	Violation Points - 8	Violation Detail - 8	Violation Memo - 8	Violation Description - 9	Violation Points - 9	Violation Detail - 9	Violation Memo - 9	Violation Description - 10	Violation Points - 10	Violation Detail - 10	Violation Memo - 10	Violation Description - 11	Violation Points - 11	Violation Detail - 11	Violation Memo - 11	Violation Description - 12	Violation Points - 12	Violation Detail - 12	Violation Memo - 12	Violation Description - 13	Violation Points - 13	Violation Detail - 13	Violation Memo - 13	Violation Description - 14	Violation Points - 14	Violation Detail - 14	Violation Memo - 14	Violation Description - 15	Violation Points - 15	Violation Detail - 15	Violation Memo - 15	Violation Description - 16	Violation Points - 16	Violation Detail - 16	Violation Memo - 16	Violation Description - 17	Violation Points - 17	Violation Detail - 17	Violation Memo - 17	Violation Description - 18	Violation Points - 18	Violation Detail - 18	Violation Memo - 18	Violation Description - 19	Violation Points - 19	Violation Detail - 19	Violation Memo - 19	Violation Description - 20	Violation Points - 20	Violation Detail - 20	Violation  Memo - 20	Violation Description - 21	Violation Points - 21	Violation Detail - 21	Violation Memo - 21	Violation Description - 22	Violation Points - 22	Violation Detail - 22	Violation Memo - 22	Violation Description - 23	Violation Points - 23	Violation Detail - 23	Violation Memo - 23	Violation Description - 24	Violation Points - 24	Violation Detail - 24	Violation Memo - 24	Violation Description - 25	Violation Points - 25	Violation Detail - 25	Violation Memo - 25	Inspection Month	Inspection Year	Lat Long Location
PANDA EXPRESS #3379	Routine	2024-01-29	95	270	OAK PARK		DR		270 OAK PARK DR	75232	*28 Date marking commercially prepared RTE/ TCS food	2.0	228.75  Food.          Time and temperature control.               (g) Ready-to-eat, TCS food, date marking.         (2) Except as specified in paragraphs (5) - (7) of this subsection, refrigerated, ready-to-eat, time/temperature controlled for safety food prepared and packaged by a food processing plant shall be clearly marked, at the time the original container is opened in a food establishment and held at a temperature of 41 degrees Fahrenheit (5 degrees Celsius) or less if the food is held for more than 24 hours, to indicate the date or day by which the food shall be consumed on the premises, sold, or discarded, based on the temperature and time combinations specified in paragraph (1) of this subsection:          (A) the day the original container is opened in the food establishment shall be counted as day 1;  and	properly date mark rte and tcs food	*37 Food shall be protected from contamination by storing the food in a clean, dry location	1.0	228.69  Food.          Preventing contamination from the premises.          (a) Food Storage.          (1) Except as specified in paragraphs (2) and (3) of this subsection, food shall be protected from contamination by storing the food:          (A) in a clean, dry location;	observed wet boxes on wic and wet floor on wic	*45 Drying Mops-air dry	1.0	228.186  Physical Facilities.          Premises, buildings, systems, rooms, fixtures, equipment, devices, and materials.          (f) Drying mops.  After use, mops shall be placed in a position that allows them to air-dry without soiling walls, equipment, or supplies.	mop must be hanged for air dry	*47 Conditions of Permit-in use of food equipment	1.0	228.248 Compliance           Conditions of retention, responsibilities of the permit holder.                          Upon acceptance of the permit issued by the regulatory authority, the permit holder in order to retain the permit shall:          (11) Notify customers that a copy of the most recent establishment inspection report is available upon request by posting a sign or placard in a location in the food establishment that is conspicuous to customers or by another method acceptable to the regulatory authority.	"provide ""latest inspection report available upon request"" sign"																																																																																					Jan 2024	FY2024	"270 OAK PARK DR
(30.109967121, -91.83143746)"
PALETERIA DELICIAS	Routine	2024-01-26	74	2008	CLARENDON	W	DR	#120	2008 W CLARENDON DR #120	75211	*02 Cold Hold (41øF/45øF or below)	3.0	228.75  Food.          Time and temperature control.          (f) Time/temperature controlled for safety food, hot and cold holding.     (1) Except during preparation, cooking, or cooling, or when time is used as the public health control as specified in subsection (i) of this section, and except as specified in paragraphs (2) and (3) of this subsection, TCS food shall be maintained:                  (B) at 5 degrees Celsius (41 degrees Fahrenheit) or less;	observed can of whipped light cream at room temperature	*10 Clean Sight and Touch	3.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          Equipment, food-contact surfaces, non-food contact surfaces and utensils.          (1) Equipment food-contact surfaces and utensils shall be clean to sight and touch.	grime build up on drink mixer, no sanitizer solution reday	*20 Grease Trap Tickets	3.0	Ch.19-126.5(c))     A producer shall sign the manifest from the transporter when a load is picked up by the transporter and shall keep a copy of all trip tickets at the producer#s business office for three years.  The director may inspect these records at any reasonable time.	most recent grease trap cleaning from 2021, needs to be cleaned every 90 days	*21 RFSM - Not On Site	2.0	Sec. 17-2.2(c)(1)(D)      (c) Registered food service managers. (1) Registered food service managers required.    (D) A food establishment shall have one registered food service manager employed and present in the establishment during all hours of operation, except that a registered food service manager serving multiple food establishments as authorized by Section 17-2.2(c)(1)(C) must only be present in the building in which the food establishment is located during all hours of operation.	no food manager onsite	*22 Accredited food handler certificate - 60 days	2.0	õ228.33. Certified Food Protection Manager and Food Handler Requirements  (d) Except in a temporary food establishment and the certified food manager, all food employees shall successfully complete an accredited food handler training course, within 60 days of employment.	no texas food handler cards onsite or available	*24 Food Labeling- with common name of the food	2.0	228.79  Food.          Labeling.          (a) Food labels.          (2) Label information shall include:          (A) the common name of the food, or absent a common name, an adequately descriptive identity statement;	provide label for Chamoy cups. provide label just like ice pops.	*25 Controlling pests. The presence of insects, rodents, and other pests shall be controlled to elim	2.0	228.186  Physical Facilities.          Premises, buildings, systems, rooms, fixtures, equipment, devices, and materials.          (k) Controlling pests.  The presence of insects, rodents, and other pests shall be controlled to eliminate their presence on the premises by:              (3) using methods, if pests are found, such as trapping devices or other means of pest control as specified in õ228.204(b) and õ228.208(b) and (c) of this title;  and	no pest control available	*28 Date marking > 24 hrs,on site,temp 41F	2.0	228.75  Food.          Time and temperature control.          (g) Ready-to-eat, TCS food, date marking.  (2) Except as specified in paragraphs (5) - (7) of this subsection, refrigerated, ready-to-eat, time/temperature controlled for safety food prepared and packaged by a food processing plant shall be clearly marked, at the time the original container is opened in a food establishment and held at a temperature of 41 degrees Fahrenheit (5 degrees Celsius) or less if the food is held for more than 24 hours, to indicate the date or day by which the food shall be consumed on the premises, sold, or discarded, based on the temperature and time combinations specified in paragraph (1) of this subsection:        (A) the day the original container is opened in the food establishment shall be counted as day 1;  and	dispose of out of date hot dogs and date mark prepared food that are store in RIC	*34 Outer door: solid,selfclosing,tightfitting	1.0	228.174  Physical Facilities.          Functionality.          (e) Outer openings, protected.          (1) Except as specified in paragraphs (2) - (5) of this subsection, outer openings of a food establishment shall be protected against the entry of insects and rodents by:          (C) solid self-closing, tight-fitting doors.	observed front door open, observed gap on exterior doors	*37 Storing the food at least 15 cm (6 inches) above the floor	1.0	228.69  Food.          Preventing contamination from the premises.          (a) Food Storage.          (1) Except as specified in paragraphs (2) and (3) of this subsection, food shall be protected from contamination by storing the food:                     (C)    at least 15 centimeters (6 inches) above the floor.	do not store food on floor	*39 Equipment & utensils cleaned before restocking	1.0	228.114  Equipment, Utensils, and Linens.          Frequency of cleaning.          (a) Equipment food-contact surfaces and utensils.          (5) Except when dry cleaning methods are used as specified in õ228.115(a) of this title, surfaces of utensils and equipment contacting food that is not time/temperature control for safety shall be cleaned:          (C) before restocking consumer self-service equipment and utensils such as condiment dispensers and display containers.	thoroughly clean drink mixer when no longer in use	*40 Store single-service item in original package	1.0	228.124  Equipment, Utensils, and Linens.          Storage.          (a) Equipment, utensils, linens, and single-service and single-use articles.          (3) Single-service and single-use articles shall be stored as specified under subparagraph (A) of this paragraph and shall be kept in the original protective package or stored by using other means that afford protection from contamination until used.	store handles of forks and spoon inverted to prevent contamination	*42 Dirty nonfood contact surfaces	1.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          (3) Nonfood-contact surfaces of equipment shall be kept free of an accumulation of dust, dirt, food residue, and other debris.	clean floor and walls of kitchen	*45  Premises shall be maintained in good repair	1.0	228.186  Physical Facilities.          Premises, buildings, systems, rooms, fixtures, equipment, devices, and materials.          (a) Repairing.  The physical facilities shall be maintained in good repair.	repair water damaged ceiling tiles and holes on walls	*47 Health permit posted	1.0	SEC. 17-10.2.     ADDITIONAL REQUIREMENTS.  (c)     Permits.   (11)     Display.  A food establishment that operates from a fixed facility shall display its permit in a frame with a glass cover at a prominent place inside the facility where it can be easily seen by the public.	post health permit																																									Jan 2024	FY2024	2008 W CLARENDON DR #120
FIESTA MART TAQUERIA	Routine	2024-02-09	85	5334	ROSS		AVE		5334 ROSS AVE	75204	*21 RFSM - Not On Site	2.0	Sec. 17-2.2(c)(1)(D)      (c) Registered food service managers. (1) Registered food service managers required.    (D) A food establishment shall have one registered food service manager employed and present in the establishment during all hours of operation, except that a registered food service manager serving multiple food establishments as authorized by Section 17-2.2(c)(1)(C) must only be present in the building in which the food establishment is located during all hours of operation.	RFSM not on site	*31 Handwashing lavatory - accessible	2.0	228.149  Water, Plumbing, and Waste.          Plumbing, operation and maintenance.          (a) Using a handwashing facility.          (1) A handwashing facility shall be maintained so that it is accessible at all times for employee use.	hand sink is not accessible , had some items blocking	*45 Drying Mops-air dry	1.0	228.186  Physical Facilities.          Premises, buildings, systems, rooms, fixtures, equipment, devices, and materials.          (f) Drying mops.  After use, mops shall be placed in a position that allows them to air-dry without soiling walls, equipment, or supplies.	mop shall be hanged to dry	*35 Eating food, chewing gum, drinking beverages, or using tobacco	1.0	228.42  Management and Personnel.        Food Contamination Prevention   (a) Eating, drinking, or using tobacco.      (1) except as specified in paragraph (2) of this subsection, an employee shall eat, drink, or use any form of tobacco only in designated areas where the contamination of exposed food; clean equipment, utensils, and linens; unwrapped single-service and single-use articles; or other items needing protection cannot result.	personal drink on shelf above vegetables , shall be properly stored	*43 Light bulbs, light shields provided	1.0	228.174  Physical Facilities.          Functionality.          (a) Light bulbs, protective shielding.          (1) Except as specified in  paragraph (2) of this subsection, light bulbs shall be shielded, coated, or otherwise shatter-resistant in areas where there is exposed food; clean equipment, utensils, and linens; or unwrapped single-service and single-use articles.	light bulb is out in RIF , shall be replaced	*28 Original cont. of RTE/PHF/Day1= day of opening	2.0	228.75  Food.          Time and temperature control.          (g) Ready-to-eat, TCS food, date marking.   (1) Except when packaging food using a reduced oxygen packaging method as specified in õ228.77 of this title, and except as specified in paragraphs (5) and (6) of this subsection, refrigerated, ready-to-eat, TCS food prepared and held in a food establishment for more than 24 hours shall be clearly marked to indicate the date or day by which the food shall be consumed on the premises, sold, or discarded when held at a temperature of 5 degrees Celsius (41 degrees Fahrenheit) or less for a maximum of 7 days. The day of preparation shall be counted as day 1.	date mark cheese for 7 days then discard	*18 Use toxic according to manufacturer direction	3.0	228.204  Poisonous or Toxic Materials.            Presence and use.          (b) Conditions of use.  Poisonous or toxic materials shall be:          (1) used according to:          (B) manufacturer's use directions included in labeling, and, for a pesticide, manufacturer#s label instructions that state that use is allowed in a food establishment.	need to have a bucket of solution chlorine 50- 100ppm Cl	*36 Cloths in-use for wiping between uses stored	1.0	228.68  Food.          Preventing Contamination From Equipment, Utensils, and Linens.         (d) Wiping cloths, use limitation.          (2) cloths in-use for wiping counters and other equipment surfaces shall be:         (A) held between uses in a chemical sanitizer solution at a concentration specified in õ228.111(n) of this title; and	Have wiping cloths in bucket between use	*38  Thawing. under running water criteria - < 4 hours	1.0	228.75  Food.          Time and temperature control.          (c) Thawing.  Except as specified in paragraph (4) of this subsection, TCS food shall be thawed:  (2) completely submerged under running water:          (D) for a period of time that does not allow thawed portions of a raw animal food requiring  cooking as specified  in õ228.71(a)(1) or (2) of this title to be above 5 degrees Celsius (41 degrees Fahrenheit) for more than four hours including	thaw under running water or keep in refrigerator	*47 Other Violations	1.0		permit need to be visible and posted																																																													Feb 2024	FY2024	5334 ROSS AVE
2 AND 1 RESTAURANT	Routine	2024-01-18	91	3641	COLONIAL		AVE		3641 COLONIAL AVE	75215	*20 Grease Trap Tickets	3.0	Ch.19-126.5(c))     A producer shall sign the manifest from the transporter when a load is picked up by the transporter and shall keep a copy of all trip tickets at the producer#s business office for three years.  The director may inspect these records at any reasonable time.	no grease trap ticket on site	*24 Food Label- manufacture/packer/distrubtor name	2.0	228.79  Food.          Labeling.          (a) Food labels.         (2) Label information shall include:         (D) the name and place of business of the manufacturer, packer, or distributor; and	shall label drink bottles in the front, name and location	*29 Food thermometers provided and accessible	2.0	228.108  Equipment, Utensils, and Linens.          Utensils, temperature measuring devices, and testing devices.          (b) Food temperature measuring devices.   Food temperature measuring devices shall be provided readily accessible for use in ensuring attainment and maintenance of food temperatures as specified under Subchapter C of this chapter (relating to Food).	shall have thermometers in reach in coolers	*42 Dirty nonfood contact surfaces	1.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          (3) Nonfood-contact surfaces of equipment shall be kept free of an accumulation of dust, dirt, food residue, and other debris.	clean inside coolers and racks, behind fryers	*45  Premises shall be maintained in good repair	1.0	228.186  Physical Facilities.          Premises, buildings, systems, rooms, fixtures, equipment, devices, and materials.          (a) Repairing.  The physical facilities shall be maintained in good repair.	3- compartment sink shall be secured to the wall																																																																																	Jan 2024	FY2024	3641 COLONIAL AVE
MK FOOD MART	Routine	2024-02-12	85	8000	GREAT TRINITY FOREST		WAY		8000 GREAT TRINITY FOREST WAY	75217	*42 Dirty nonfood contact surfaces	1.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          (3) Nonfood-contact surfaces of equipment shall be kept free of an accumulation of dust, dirt, food residue, and other debris.	clean fan cover inside wic	*07 Food safe, good condition, unadulterated, and honestly presented	3.0	228.61  Food.         Condition safe, unadulterated, and honestly presented.       Food shall be safe, unadulterated, and, as specified in õ228.78(b) of this title, honestly presented.	observed expired food ( genoa salami) on ric , expired can food	*10 Clean Sight and Touch	3.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          Equipment, food-contact surfaces, non-food contact surfaces and utensils.          (1) Equipment food-contact surfaces and utensils shall be clean to sight and touch.	clean inside the ice machine	*47 Other Violations	1.0		provide no smoking sign on the door	*45  Premises shall be maintained in good repair	1.0	228.186  Physical Facilities.          Premises, buildings, systems, rooms, fixtures, equipment, devices, and materials.          (a) Repairing.  The physical facilities shall be maintained in good repair.	fix ceiling tiles	*34 Outer openings:closing holes, gaps	1.0	228.174  Physical Facilities.          Functionality.          (e) Outer openings, protected.          (1) Except as specified in paragraphs (2) - (5) of this subsection, outer openings of a food establishment shall be protected against the entry of insects and rodents by:          (A) filling or closing holes and other gaps along floors, walls and ceilings;	seal the gap on the front door	*22 Accredited food handler certificate - 60 days	2.0	õ228.33. Certified Food Protection Manager and Food Handler Requirements  (d) Except in a temporary food establishment and the certified food manager, all food employees shall successfully complete an accredited food handler training course, within 60 days of employment.	food handler card missing	*19 Water &  Plumbing in good repair- per code	3.0	228.149  Water, Plumbing, and Waste.          Plumbing, operation and maintenance.          (e) System maintained in good repair.  A plumbing system shall be:          (1) repaired according to the Plumbing Code;  and	fix the water leaking from the faucet																																																																					Feb 2024	FY2024	"8000 GREAT TRINITY FOREST WAY
(32.711816985, -96.684642004)"
7-ELEVEN CONVENIENCE STORE #24499B	Routine	2024-01-31	87	9804	FERGUSON		RD		9804 FERGUSON RD	75228	*19 Water &  Plumbing in good repair- per code	3.0	228.149  Water, Plumbing, and Waste.          Plumbing, operation and maintenance.          (e) System maintained in good repair.  A plumbing system shall be:          (1) repaired according to the Plumbing Code;  and	3 compartment sink faucet is leaking	*18 Toxic items storage adjacent to food/utensils	3.0	228.203  Poisonous or Toxic Materials.            Storage, separation.  Poisonous or toxic materials shall be stored so they cannot contaminate food, equipment, utensils, linens, and single-service and single-use articles by:          (1) separating the poisonous or toxic materials by spacing or partitioning; and	cleaning chemicals stored next to utensils/ pizza oven	*29 Food thermometers provided and accessible	2.0	228.108  Equipment, Utensils, and Linens.          Utensils, temperature measuring devices, and testing devices.          (b) Food temperature measuring devices.   Food temperature measuring devices shall be provided readily accessible for use in ensuring attainment and maintenance of food temperatures as specified under Subchapter C of this chapter (relating to Food).	need thermometers in RIC	*37 Food protected from cross contamination by storing the food in packages, covered containers, or	1.0	228.66  Food.          Preventing food and ingredient contamination.          (a) Packaged and unpackaged food - separation, packaging, and segregation.          (1) Food shall be protected from cross contamination by:          (D) except as specified in õ228.75(e)(2)(B) of this title and paragraph (2) of this subsection, storing the food in packages, covered containers, or wrappings;	food uncovered in RIF (back room)	*31 Handwashing lavatory - used for other purpose	2.0	228.149  Water, Plumbing, and Waste.          Plumbing, operation and maintenance.          (a) Using a handwashing facility.          (2) A handwashing facility may not be used for purposes other than handwashing.	hand sink area must be clean- not used for storing items	*42 Dirty nonfood contact surfaces	1.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          (3) Nonfood-contact surfaces of equipment shall be kept free of an accumulation of dust, dirt, food residue, and other debris.	clean under/ behind pizza oven (food debris observed). RIF (ice cream) has build up of ice and dirty seals on sliding doors	*45 Drying Mops-air dry	1.0	228.186  Physical Facilities.          Premises, buildings, systems, rooms, fixtures, equipment, devices, and materials.          (f) Drying mops.  After use, mops shall be placed in a position that allows them to air-dry without soiling walls, equipment, or supplies.	hang mops to dry when not in use																																																																									Jan 2024	FY2024	9804 FERGUSON RD
ANTOJITOS AZTECA	Routine	2024-01-08	88	2838	CLARENDON	W	RD		2838 W CLARENDON RD	75211	*10 Clean Sight and Touch	3.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          Equipment, food-contact surfaces, non-food contact surfaces and utensils.          (1) Equipment food-contact surfaces and utensils shall be clean to sight and touch.	grime build up in ice machine. clean and sanitize	*18 Restricted use pesticides	3.0	228.208  Poisonous or Toxic Materials.            Pesticides.          (a) Restricted use pesticides, criteria.  Restricted use pesticides as specified in õ228.204(b)(3) of this title shall meet the requirements specified in 40 CFR 152 Subpart l, Classification of Pesticides.	remove raid pesticide spray bottle	*25 Controlling pests. The presence of insects, rodents, and other pests shall be controlled to elim	2.0	228.186  Physical Facilities.          Premises, buildings, systems, rooms, fixtures, equipment, devices, and materials.          (k) Controlling pests.  The presence of insects, rodents, and other pests shall be controlled to eliminate their presence on the premises by:              (3) using methods, if pests are found, such as trapping devices or other means of pest control as specified in õ228.204(b) and õ228.208(b) and (c) of this title;  and	pest control receipts not available	*29 Food thermometers provided and accessible	2.0	228.108  Equipment, Utensils, and Linens.          Utensils, temperature measuring devices, and testing devices.          (b) Food temperature measuring devices.   Food temperature measuring devices shall be provided readily accessible for use in ensuring attainment and maintenance of food temperatures as specified under Subchapter C of this chapter (relating to Food).	provide a food thermometer	*43 Ventilation,mechanical	1.0	228.178  Physical Facilities.          Ventilation, mechanical.  If necessary to keep rooms free of excessive heat, steam, condensation, vapors, obnoxious odors, smoke, and fumes, mechanical ventilation of sufficient capacity shall be provided.	not approved ventilation for fryers	*47 Conditions of Permit-in use of food equipment	1.0	228.248 Compliance           Conditions of retention, responsibilities of the permit holder.                          Upon acceptance of the permit issued by the regulatory authority, the permit holder in order to retain the permit shall:          (11) Notify customers that a copy of the most recent establishment inspection report is available upon request by posting a sign or placard in a location in the food establishment that is conspicuous to customers or by another method acceptable to the regulatory authority.	post																																																																													Jan 2024	FY2024	2838 W CLARENDON RD
SOIRIE COFFEE BAR	Routine	2024-01-18	82	320	SINGLETON		BLVD	#190	320 SINGLETON BLVD #190	75212	*14 Wash hands after all other activities	3.0	228.38  Management and Personnel.       Hands and Arms.     (d) When to wash. Food employees shall clean their hands and exposed portions of their arms as specified under subsection (b) of this section immediately before engaging in food preparation including working with exposed food, clean equipment and utensils, and unwrapped   single-service and single-use articles and:;     (9) after engaging in other activities that contaminate the hands.	Must change gloves & wash hands in between/when going from one task to another	*31 Handwashing lavatory - used for other purpose	2.0	228.149  Water, Plumbing, and Waste.          Plumbing, operation and maintenance.          (a) Using a handwashing facility.          (2) A handwashing facility may not be used for purposes other than handwashing.	Do not place/keep items in hand sink>observed incense placed in hand sink	*09  Food protected cross contamination arrange each type food in equipment so cross is prevented	3.0	228.66  Food.          Preventing food and ingredient contamination.          (a) Packaged and unpackaged food - separation, packaging, and segregation.          (1) Food shall be protected from cross contamination by:          (B) except when combined as ingredients, separating types of raw animal foods from each other such as beef, fish, lamb, pork, and poultry during storage, preparation, holding, and display by:          (ii) arranging each type of food in equipment so that cross contamination of one type with another is prevented; and	Do not store raw shelled eggs over ready-to-eat items (berries	*20 Grease Trap Tickets	3.0	Ch.19-126.5(c))     A producer shall sign the manifest from the transporter when a load is picked up by the transporter and shall keep a copy of all trip tickets at the producer#s business office for three years.  The director may inspect these records at any reasonable time.	No liquid waste manifest available>begin to request copy from property manager	*43 Ventilation hood-prevent grease dripping	1.0	228.106  Equipment, Utensils, and Linens.          Functionality of equipment.          (a) Ventilation hood systems, drip prevention.  Exhaust ventilation hood systems in food preparation and warewashing areas including components such as hoods, fans, guards, and ducting shall be designed to prevent grease or condensation from draining or dripping onto food, equipment, utensils, linens, and single-service and single-use articles.	Clean vent hood so that no grease builds up/drips onto food	*18 Toxic items labeling-non original container	3.0	228.202  Poisonous or Toxic Materials.            Working containers, common name.  Working containers used for storing poisonous or toxic materials such as cleaners and sanitizers taken from bulk supplies shall be clearly and individually identified with the common name of the material.	Label all non-original chemical spray bottles with contents	*42 Dirty nonfood contact surfaces	1.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          (3) Nonfood-contact surfaces of equipment shall be kept free of an accumulation of dust, dirt, food residue, and other debris.	Clean all food waste in reach-in coolers	*45  Premises shall be maintained in good repair	1.0	228.186  Physical Facilities.          Premises, buildings, systems, rooms, fixtures, equipment, devices, and materials.          (a) Repairing.  The physical facilities shall be maintained in good repair.	Fix/add washer to 2-compartment sink	*47 Handwashing signage	1.0	228.175  Physical Facilities.          Handwashing Sinks.          (e) Handwashing signage. A sign or poster that notifies food employees to wash their hands shall be provided at all handwashing sinks used by food employees and shall be clearly visible to food employees.	Post hand washing sign in restrooms																																																																	Jan 2024	FY2024	"320 SINGLETON BLVD #190
(32.77381, -96.91586)"
SAM'S #6376 JUICE	Routine	2024-01-19	96	4062	LBJ		FRWY		4062 LBJ FRWY	76244	*31 Individual, disposable towels	2.0	228.175  Physical Facilities.          Handwashing Sinks.          (c) Hand drying provision.  Each handwashing lavatory or group of adjacent lavatories shall be provided with:          (1) individual, disposable towels;	Provide paper towels for hand washing station, use hand washing sink for hand washing only	*39 Utensils, single serve items 6 inches off  - floor	1.0	228.124  Equipment, Utensils, and Linens.          Storage.          (a) Equipment, utensils, linens, and single-service and single-use articles.          (1) Except as specified in paragraph (4) of this subsection, cleaned equipment and utensils, laundered linens, and single-service and single-use articles shall be stored:           (C) at least 15 centimeters (6 inches) above the floor.	store utensils 6 inches off the floor ( Juice bottles for product)	*47 Health permit posted	1.0	SEC. 17-10.2.     ADDITIONAL REQUIREMENTS.  (c)     Permits.   (11)     Display.  A food establishment that operates from a fixed facility shall display its permit in a frame with a glass cover at a prominent place inside the facility where it can be easily seen by the public.	Display permit																																																																																									Jan 2024	FY2024	4062 LBJ FRWY
SUPER MERCADO MONTERREY KITCHEN	Routine	2024-02-02	90	1120	WESTMORELAND	S	RD		1120 S WESTMORELAND RD	75211	*45 Floor contruction requirements	1.0	SEC. 17-6.2.     ADDITIONAL REQUIREMENTS.    (c)     Floors, walls, and ceilings. (2)     Special requirements for floors.  A food establishment shall:               (A)     construct floors that are water flushed for cleaning, or that receive discharges of liquid from equipment or pressure sprays, of sealed concrete, terrazzo, ceramic tile, or similar material that is graded to a properly installed trapped floor drain	the floor in the kitchen is degrading, not easily cleaned	*10 Equipment / Utensils (PHF) every 4 hours	3.0	228.114  Equipment, Utensils, and Linens.          Frequency of cleaning.          (a) Equipment food-contact surfaces and utensils.          (3) Except as specified in paragraph (4) of this subsection, if used with TCS food equipment food-contact surfaces and utensils shall be cleaned throughout the day at least every four hours.	old food debris inside HH, need to clean	*42 Nonfood-contact surfaces material	1.0	228.101  Equipment, Utensils, and Linens.          Multiuse materials.          (i) Nonfood-contact surfaces.  Nonfood-contact surfaces of equipment that are exposed to splash, spillage, or other food soiling or that require frequent cleaning shall be constructed of a corrosion-resistant, nonabsorbent, and smooth material.	need to clean working surfaces	*36 Cloths in-use for wiping between uses stored	1.0	228.68  Food.          Preventing Contamination From Equipment, Utensils, and Linens.         (d) Wiping cloths, use limitation.          (2) cloths in-use for wiping counters and other equipment surfaces shall be:         (A) held between uses in a chemical sanitizer solution at a concentration specified in õ228.111(n) of this title; and	need to store wiping cloths in sanitizer	*34 Controlling pests. Eliminating harborage conditions	1.0	228.186  Physical Facilities.          Premises, buildings, systems, rooms, fixtures, equipment, devices, and materials.          (k) Controlling pests.  The presence of insects, rodents, and other pests shall be controlled to eliminate their presence on the premises by:              (4) eliminating harborage conditions.	need to clean behind equipment	*03 Food products not maintained at 135øF or above	3.0	228.75  Food.          Time and temperature control.          (f) Time/temperature controlled for safety food, hot and cold holding.  (1) Except during preparation, cooking, or cooling, or when time is used as the public health control as specified in subsection (i) of this sectionin paragraphs (2) and (3) of this subsection, TCS food shall be maintained:                  (A) at 57 degrees Celsius (135 degrees Fahrenheit) or above, except that roasts cooked to a temperature and for a time specified in õ228.71(a)(2) of this title or reheated as specified in subsection õ228.73(e) of this title may be held at a temperature of 54 degrees Celsius (130 degrees Fahrenheit);	HOT HOLDING TEMPERATURES ARE LESS THAN 135																																																																													Feb 2024	FY2024	1120 S WESTMORELAND RD
SONIC DRIVE IN	Routine	2024-02-01	92	2516	FORT WORTH		AVE		2516 FORT WORTH AVE	75211	*02 Cold Hold (41øF/45øF or below)	3.0	228.75  Food.          Time and temperature control.          (f) Time/temperature controlled for safety food, hot and cold holding.     (1) Except during preparation, cooking, or cooling, or when time is used as the public health control as specified in subsection (i) of this section, and except as specified in paragraphs (2) and (3) of this subsection, TCS food shall be maintained:                  (B) at 5 degrees Celsius (41 degrees Fahrenheit) or less;	Tomatoes on prep line observed at 50 F, recommend that if they cannot be kept at temperature to use time	*30 Does Establishment have a current valid permit posted?	2.0	228.247  COMPLIANCE        Permit Requirement, Prerequisite for Operation          A person may not operate a food establishment without a valid permit or license to operate issued by the regulatory authority.	Permit in store not the current permit in our system>will return in 2-weeks, speak to area manager for more information	*32 Equipment and Utensils Multiuse Materials durable	2.0	228.101  Equipment, Utensils, and Linens.          Multiuse materials.          (a) Characteristics.  Materials that are used in the construction of utensils and food-contact surfaces of equipment may not allow the migration of deleterious substances or impart colors, odors, or tastes to food and under normal use conditions shall be:          (2) durable, corrosion-resistant, and nonabsorbent;	Replace foam on ice machine lid to non-absorbent material	*42 Dirty nonfood contact surfaces	1.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          (3) Nonfood-contact surfaces of equipment shall be kept free of an accumulation of dust, dirt, food residue, and other debris.	Clean wire racks in walk-in cooler of all grime/mold/grease																																																																																					Feb 2024	FY2024	2516 FORT WORTH AVE
